heart_rate,light,stress_score,stress_category
73,2511,22.9,Normal
74,2820,27.0,Normal
76,2956,29.1,Normal
81,2573,38.6,Normal
95,2090,40.2,Mild Stress
63,2999,12.8,Relaxed
99,2880,37.7,Mild Stress
99,1187,59.4,Moderate Stress
131,855,76.0,High Stress
67,2470,28.5,Relaxed
109,1012,64.9,Moderate Stress
60,3675,6.1,Relaxed
62,3405,9.6,Relaxed
75,2172,38.8,Normal
85,1531,48.2,Mild Stress
127,486,79.0,High Stress
85,1933,39.3,Mild Stress
82,2655,27.5,Normal
77,2326,34.9,Normal
108,681,68.4,Moderate Stress
78,2794,32.2,Normal
102,1509,62.3,Moderate Stress
132,715,81.1,High Stress
63,2950,17.6,Relaxed
74,3197,22.0,Normal
94,1861,47.5,Mild Stress
89,1675,40.4,Mild Stress
79,2942,26.7,Normal
60,3206,12.3,Relaxed
57,3430,11.3,Relaxed
82,2010,42.1,Normal
85,2060,41.5,Mild Stress
118,1039,74.4,Moderate Stress
106,1176,65.1,Moderate Stress
87,2727,35.3,Normal
107,975,59.2,Moderate Stress
113,1739,62.0,Moderate Stress
58,3379,7.7,Relaxed
66,3867,13.7,Relaxed
136,691,82.5,High Stress
103,1558,56.7,Moderate Stress
106,630,59.3,Moderate Stress
80,2354,31.0,Normal
97,2060,40.0,Mild Stress
63,3087,25.0,Relaxed
126,884,73.0,High Stress
145,661,85.1,High Stress
70,3515,17.9,Relaxed
78,2201,28.4,Normal
139,642,81.5,High Stress
97,2352,50.3,Mild Stress
132,856,74.7,High Stress
141,337,84.1,High Stress
95,1168,49.7,Mild Stress
106,575,67.0,Moderate Stress
93,1708,47.9,Mild Stress
82,2470,36.0,Normal
134,272,82.2,High Stress
140,511,82.5,High Stress
66,3962,10.8,Relaxed
112,1131,62.8,Moderate Stress
141,153,92.6,High Stress
92,1708,48.4,Mild Stress
132,652,72.3,High Stress
140,552,89.5,High Stress
97,2214,42.6,Mild Stress
86,2409,34.5,Mild Stress
110,911,54.9,Moderate Stress
78,2815,21.9,Normal
108,923,59.3,Moderate Stress
123,1237,65.7,Moderate Stress
90,2248,27.3,Mild Stress
90,2352,34.3,Mild Stress
61,3418,15.9,Relaxed
138,680,72.5,High Stress
107,924,68.1,Moderate Stress
158,400,96.4,High Stress
136,395,85.5,High Stress
135,0,90.3,High Stress
66,2830,22.9,Relaxed
146,778,85.9,High Stress
79,3752,18.6,Normal
76,2850,31.6,Normal
94,1926,48.0,Mild Stress
128,1396,67.3,High Stress
137,500,77.6,High Stress
79,2818,28.7,Normal
77,1379,44.0,Normal
129,587,75.2,High Stress
93,1592,47.3,Mild Stress
106,1068,60.0,Moderate Stress
106,1224,53.1,Moderate Stress
86,1521,37.1,Moderate Stress
66,3781,8.6,Relaxed
79,2547,26.0,Normal
84,3071,32.9,Normal
68,2378,35.7,Normal
78,1813,30.6,Normal
89,1798,34.8,Mild Stress
79,2296,31.0,Mild Stress
77,2311,27.7,Normal
72,1693,42.6,Normal
81,2393,36.3,Normal
98,1629,52.1,Mild Stress
59,3073,15.0,Relaxed
88,1664,49.5,Mild Stress
144,432,91.9,High Stress
80,2805,29.9,Normal
76,2804,27.3,Normal
96,2453,41.0,Mild Stress
88,1926,42.9,Mild Stress
97,2005,47.4,Mild Stress
85,1524,43.0,Mild Stress
136,590,84.4,High Stress
105,1287,54.4,Moderate Stress
78,2990,30.4,Normal
70,2713,20.5,Relaxed
65,3461,13.5,Relaxed
86,2873,33.6,Normal
70,3141,13.9,Normal
75,3312,21.7,Normal
61,3463,15.7,Relaxed
134,543,81.6,High Stress
91,2229,37.6,Mild Stress
108,1176,58.6,Moderate Stress
64,3999,11.8,Relaxed
58,3311,13.9,Relaxed
93,1748,51.2,Mild Stress
114,552,72.0,Moderate Stress
103,1580,51.3,Moderate Stress
63,2983,30.4,Relaxed
104,1282,57.0,Moderate Stress
86,1872,46.3,Mild Stress
75,2761,30.9,Normal
64,3329,10.4,Relaxed
108,1356,60.0,Moderate Stress
90,1592,42.0,Mild Stress
67,3054,21.9,Relaxed
105,1503,58.7,Moderate Stress
68,3146,18.0,Relaxed
60,3199,12.6,Relaxed
105,850,64.6,Moderate Stress
142,789,80.0,High Stress
65,3438,17.3,Relaxed
65,3360,14.6,Relaxed
125,605,76.1,High Stress
94,1674,50.6,Mild Stress
105,1525,54.4,Mild Stress
125,623,66.5,High Stress
62,3364,16.4,Relaxed
105,1383,56.8,Moderate Stress
130,510,70.0,High Stress
61,3598,10.8,Relaxed
59,2543,25.8,Relaxed
79,2546,29.2,Normal
62,2739,18.6,Relaxed
109,1181,59.3,Moderate Stress
58,3490,8.6,Relaxed
94,2331,39.3,Mild Stress
111,1144,63.1,Moderate Stress
77,2375,30.2,Normal
68,3679,15.3,Relaxed
71,3287,19.9,Normal
138,440,81.7,High Stress
87,1578,40.6,Mild Stress
104,1705,61.5,Moderate Stress
62,3373,12.9,Relaxed
94,1762,47.3,Mild Stress
72,2881,22.4,Relaxed
61,3745,12.2,Relaxed
80,2446,30.7,Normal
103,1434,54.8,Moderate Stress
99,1453,50.1,Mild Stress
64,2641,24.2,Relaxed
143,238,90.4,High Stress
62,2868,21.5,Relaxed
133,587,83.0,High Stress
61,3226,7.0,Relaxed
115,805,71.5,Moderate Stress
80,1875,41.1,Normal
62,3375,11.0,Relaxed
93,1909,44.0,Mild Stress
62,3712,8.1,Relaxed
112,1190,66.5,Moderate Stress
127,596,72.5,High Stress
135,538,79.2,High Stress
96,1249,63.4,Mild Stress
97,1329,52.2,Mild Stress
127,774,75.0,High Stress
70,3500,13.1,Relaxed
53,3251,8.5,Relaxed
75,2172,40.3,Normal
147,568,85.6,High Stress
107,1134,58.7,Moderate Stress
96,1207,56.9,Mild Stress
74,2968,17.6,Normal
68,3301,20.2,Relaxed
104,1280,60.2,Moderate Stress
135,930,74.0,High Stress
73,3470,14.6,Relaxed
65,3278,12.9,Relaxed
80,1967,33.6,Mild Stress
120,1463,66.2,Moderate Stress
77,2958,27.7,Normal
110,1461,59.0,Moderate Stress
125,626,74.2,High Stress
75,2901,20.3,Normal
103,1049,57.3,Moderate Stress
115,915,63.6,Moderate Stress
102,1151,57.3,Moderate Stress
141,1045,84.8,High Stress
81,2201,39.7,Normal
82,3190,28.9,Normal
76,2597,34.0,Normal
119,549,78.2,High Stress
127,704,76.3,High Stress
136,1093,77.6,High Stress
140,908,79.8,High Stress
117,1513,69.0,Moderate Stress
77,2328,28.6,Normal
88,1735,47.1,Mild Stress
115,942,71.3,Moderate Stress
133,497,77.4,High Stress
92,1861,38.9,Mild Stress
73,2383,30.6,Normal
55,3766,6.7,Relaxed
111,1467,56.3,Moderate Stress
75,2619,25.8,Normal
98,1493,56.7,Mild Stress
58,3222,14.7,Relaxed
117,1032,64.5,Moderate Stress
107,1074,54.2,Moderate Stress
69,2848,23.3,Relaxed
83,2555,38.6,Normal
77,2215,28.3,Normal
133,959,79.6,High Stress
135,462,85.7,High Stress
140,560,79.1,High Stress
126,563,76.7,High Stress
108,1302,62.4,Moderate Stress
89,2094,38.0,Mild Stress
109,1212,58.0,Moderate Stress
87,2375,33.6,Mild Stress
69,3837,7.9,Relaxed
117,1247,58.1,Moderate Stress
141,393,83.9,High Stress
133,418,76.7,High Stress
71,2476,30.4,Normal
118,854,65.7,Moderate Stress
81,2174,35.1,Normal
136,671,77.4,High Stress
90,1811,46.6,Mild Stress
108,1154,56.0,Moderate Stress
64,3148,18.7,Relaxed
79,3159,22.0,Normal
116,1400,67.5,Moderate Stress
76,3074,26.6,Normal
81,2987,27.8,Normal
94,2262,38.7,Mild Stress
109,1150,58.4,Moderate Stress
71,3153,25.6,Relaxed
102,1745,53.4,Mild Stress
74,2003,32.8,Normal
69,2320,28.2,Normal
62,3106,14.7,Relaxed
75,2542,28.4,Normal
94,1839,44.2,Mild Stress
107,1308,54.9,Moderate Stress
71,2513,28.3,Normal
107,794,63.7,Moderate Stress
135,753,77.9,High Stress
158,908,90.3,High Stress
108,1141,62.9,Moderate Stress
82,2213,29.9,Normal
100,1343,56.8,Moderate Stress
62,3222,9.0,Relaxed
108,1355,56.4,Moderate Stress
122,1006,71.7,Moderate Stress
86,1980,41.9,Mild Stress
107,1424,55.0,Moderate Stress
80,2032,33.6,Normal
76,2552,35.9,Normal
70,2841,20.9,Normal
107,1452,58.6,Moderate Stress
113,727,57.4,Moderate Stress
114,1270,68.0,Moderate Stress
71,2586,20.4,Normal
65,3069,19.3,Relaxed
95,1629,43.2,Mild Stress
58,3381,11.1,Relaxed
69,2985,22.8,Normal
128,283,80.5,High Stress
87,2323,36.4,Mild Stress
54,3905,7.4,Relaxed
104,1429,65.5,Moderate Stress
57,3168,8.3,Relaxed
59,3028,10.0,Relaxed
133,827,74.1,High Stress
64,3292,11.4,Relaxed
145,1113,81.8,High Stress
80,2672,28.2,Normal
98,1968,47.5,Mild Stress
126,872,70.7,High Stress
111,840,64.6,Moderate Stress
91,2521,46.6,Mild Stress
144,460,89.6,High Stress
135,661,80.7,High Stress
136,945,80.1,High Stress
116,1119,74.5,Moderate Stress
62,3104,16.2,Relaxed
69,3575,11.0,Relaxed
73,2857,26.0,Normal
136,609,81.9,High Stress
134,651,80.5,High Stress
89,1680,53.7,Mild Stress
137,198,87.7,High Stress
59,3541,22.1,Relaxed
87,589,56.2,Mild Stress
90,2623,36.6,Mild Stress
74,2683,26.9,Normal
84,2647,31.8,Normal
71,2037,25.9,Normal
75,3021,22.6,Normal
110,1146,60.2,Moderate Stress
78,2822,29.2,Normal
132,1217,74.8,High Stress
65,3093,17.3,Relaxed
100,2213,49.2,Mild Stress
108,1173,56.0,Moderate Stress
86,1561,44.3,Mild Stress
91,1338,48.9,Mild Stress
112,1426,60.7,Moderate Stress
114,1234,55.1,Moderate Stress
98,1520,50.7,Mild Stress
117,1139,68.5,Moderate Stress
86,1753,49.6,Mild Stress
85,3190,28.9,Normal
75,2842,27.2,Normal
82,3052,25.9,Normal
142,1272,83.1,High Stress
106,901,64.8,Moderate Stress
70,3056,19.6,Relaxed
101,1879,52.0,Mild Stress
73,2657,23.2,Normal
63,4095,9.8,Relaxed
55,3455,6.4,Relaxed
79,2867,29.6,Normal
137,539,77.9,High Stress
78,2174,34.0,Normal
131,387,77.7,High Stress
140,175,89.7,High Stress
131,663,78.0,High Stress
138,766,83.9,High Stress
62,3833,7.9,Relaxed
98,1840,47.1,Mild Stress
95,1194,44.1,Mild Stress
86,1861,39.8,Mild Stress
70,3619,15.9,Relaxed
83,2713,24.5,Normal
85,1850,42.8,Mild Stress
129,1018,77.8,High Stress
119,946,61.6,Moderate Stress
77,3167,19.4,Normal
130,727,84.1,High Stress
131,350,76.5,High Stress
74,3778,14.4,Relaxed
62,2939,16.9,Relaxed
103,1163,55.8,Moderate Stress
62,3437,14.9,Relaxed
89,2696,43.9,Mild Stress
78,2459,42.9,Normal
64,2972,8.5,Relaxed
77,3080,22.0,Normal
108,1653,54.0,Moderate Stress
116,1148,69.7,Moderate Stress
86,2062,32.9,Mild Stress
65,3563,9.2,Relaxed
112,944,69.8,Moderate Stress
96,1853,49.2,Mild Stress
65,4071,12.4,Relaxed
64,3209,15.4,Relaxed
92,2155,45.2,Mild Stress
136,633,86.8,High Stress
63,3184,19.2,Relaxed
58,3563,13.5,Relaxed
66,3287,13.8,Relaxed
97,2678,42.0,Mild Stress
81,2009,40.6,Mild Stress
91,1421,50.6,Mild Stress
57,3270,11.9,Relaxed
93,1805,43.1,Mild Stress
80,3220,35.7,Normal
114,1634,60.4,Moderate Stress
79,2841,19.8,Normal
145,1457,84.4,High Stress
118,813,73.0,Moderate Stress
111,1033,64.3,Moderate Stress
77,2677,31.2,Normal
81,3263,25.4,Normal
116,1073,59.9,Moderate Stress
67,3555,11.0,Relaxed
106,993,59.8,Moderate Stress
129,557,76.6,High Stress
97,2003,43.7,Mild Stress
77,3163,25.4,Normal
83,2225,31.0,Mild Stress
75,2687,25.7,Normal
123,930,64.1,High Stress
110,797,70.6,Moderate Stress
71,2298,29.8,Normal
115,919,56.0,High Stress
96,1731,56.1,Mild Stress
139,607,82.1,High Stress
70,2456,25.3,Normal
84,2312,35.9,Normal
57,2606,21.0,Relaxed
73,2722,27.4,Normal
103,1768,48.4,Moderate Stress
133,433,85.0,High Stress
110,1134,61.0,Moderate Stress
94,1552,50.5,Mild Stress
75,2103,30.6,Normal
81,3088,30.9,Normal
58,3337,14.6,Relaxed
69,3047,22.3,Normal
83,1989,36.0,Mild Stress
86,2624,40.9,Normal
65,2874,22.9,Relaxed
61,3713,9.8,Relaxed
63,3857,16.3,Relaxed
102,1005,57.2,Moderate Stress
75,2733,26.7,Normal
80,2162,38.1,Normal
143,273,86.0,High Stress
148,710,85.9,High Stress
135,741,76.6,High Stress
133,927,78.4,High Stress
70,1781,35.0,Normal
116,979,63.0,Moderate Stress
88,1506,50.7,Mild Stress
79,2883,21.0,Normal
132,551,78.8,High Stress
83,2963,22.7,Normal
71,2617,25.9,Normal
131,365,84.0,High Stress
82,2682,32.8,Normal
89,3123,29.7,Normal
66,2952,19.8,Normal
58,3610,6.9,Relaxed
86,2550,42.2,Mild Stress
55,3026,15.3,Relaxed
133,872,74.3,High Stress
142,741,85.3,High Stress
80,2235,32.3,Normal
131,961,77.3,High Stress
79,2578,35.4,Normal
95,1579,54.5,Mild Stress
94,1281,49.2,Mild Stress
139,790,84.3,High Stress
84,2548,33.3,Normal
63,3033,14.1,Relaxed
68,2618,24.0,Normal
131,729,75.5,High Stress
75,2311,31.4,Normal
152,650,91.3,High Stress
61,3395,12.6,Relaxed
113,909,61.1,Moderate Stress
108,1092,60.1,Moderate Stress
60,3502,7.2,Relaxed
86,1839,37.7,Mild Stress
78,2104,32.4,Mild Stress
88,1523,52.3,Mild Stress
71,2532,22.6,Normal
84,2581,33.7,Normal
109,1220,63.6,Moderate Stress
85,1579,44.3,Mild Stress
62,2750,15.1,Relaxed
109,1571,53.3,Moderate Stress
114,1784,57.7,Moderate Stress
63,2732,26.3,Relaxed
105,1890,55.5,Mild Stress
133,891,85.1,High Stress
82,2761,31.4,Normal
65,3131,16.1,Relaxed
113,1199,59.8,Moderate Stress
67,2231,31.6,Normal
77,2081,41.1,Mild Stress
66,3045,20.5,Relaxed
112,1267,61.5,Moderate Stress
76,2593,26.3,Normal
64,2806,19.0,Relaxed
66,3590,10.4,Relaxed
85,2234,40.5,Normal
85,1707,38.5,Mild Stress
75,2314,31.2,Normal
80,2626,35.5,Normal
63,3577,18.2,Relaxed
136,754,77.8,High Stress
72,3108,21.0,Normal
61,3563,5.7,Relaxed
134,424,86.9,High Stress
106,1655,47.1,Mild Stress
112,996,61.8,Moderate Stress
84,1942,40.3,Mild Stress
108,1287,58.3,Moderate Stress
81,2760,32.4,Normal
65,3277,17.0,Relaxed
66,2290,20.3,Normal
71,3130,19.5,Normal
142,132,85.6,High Stress
82,2656,39.1,Normal
133,834,79.6,High Stress
59,3470,8.4,Relaxed
106,864,61.5,Moderate Stress
122,816,76.2,High Stress
129,704,74.0,High Stress
93,2262,41.2,Mild Stress
86,1626,42.6,Mild Stress
92,1692,38.4,Mild Stress
72,1514,39.4,Normal
80,2414,28.3,Normal
68,3137,17.9,Relaxed
83,2930,21.1,Normal
75,2224,33.7,Normal
136,492,79.8,High Stress
59,3207,16.8,Relaxed
61,3677,10.1,Relaxed
143,690,83.5,High Stress
150,601,87.7,High Stress
109,1314,55.4,Moderate Stress
78,2790,31.9,Normal
99,2593,46.2,Mild Stress
69,3210,18.5,Relaxed
92,2181,41.3,Mild Stress
63,3520,9.8,Relaxed
142,824,85.8,High Stress
116,827,70.1,High Stress
132,165,79.3,High Stress
123,684,78.0,High Stress
96,2216,39.3,Mild Stress
141,783,85.4,High Stress
78,3231,24.4,Normal
68,3426,17.7,Relaxed
112,1023,62.6,Moderate Stress
113,790,64.3,Moderate Stress
97,2040,38.5,Mild Stress
58,3631,13.9,Relaxed
108,1090,59.9,Moderate Stress
64,2747,26.3,Relaxed
82,2966,28.6,Normal
91,1583,53.9,Mild Stress
65,3482,17.3,Relaxed
118,1104,72.7,Moderate Stress
77,2562,24.8,Normal
79,2346,38.7,Normal
103,2176,48.1,Mild Stress
82,2980,33.4,Normal
74,2327,31.8,Normal
86,1698,42.4,Mild Stress
133,808,74.5,High Stress
73,2805,24.6,Normal
91,2280,41.8,Mild Stress
55,3237,7.8,Relaxed
96,1715,52.0,Mild Stress
76,2094,38.2,Normal
120,664,72.2,High Stress
80,2768,31.8,Normal
77,2749,26.6,Normal
94,755,56.1,Moderate Stress
68,4055,6.5,Relaxed
133,500,78.9,High Stress
78,2496,35.5,Normal
78,2748,33.9,Normal
60,3276,24.2,Relaxed
74,3253,18.9,Normal
82,2105,36.9,Mild Stress
87,1988,38.0,Mild Stress
92,1471,44.6,Mild Stress
97,1974,43.1,Mild Stress
68,3882,15.4,Relaxed
129,700,81.7,High Stress
65,2657,22.0,Normal
75,3101,19.9,Normal
132,450,75.1,High Stress
62,3642,5.3,Relaxed
87,2120,41.7,Mild Stress
72,2916,23.7,Normal
78,3199,29.6,Normal
114,1388,61.4,Moderate Stress
79,3052,25.0,Normal
95,1558,52.5,Mild Stress
79,2274,37.0,Normal
96,1548,48.4,Mild Stress
113,919,56.1,Moderate Stress
74,1835,37.6,Normal
105,443,62.5,Moderate Stress
62,3602,11.5,Relaxed
111,1067,67.5,Moderate Stress
57,2975,10.5,Relaxed
77,2436,31.5,Normal
69,2377,23.9,Normal
71,3589,14.9,Normal
106,815,56.1,Moderate Stress
58,3288,10.3,Relaxed
77,2464,26.7,Normal
61,3976,12.9,Relaxed
84,1755,37.6,Mild Stress
79,2734,20.3,Normal
93,2436,43.0,Mild Stress
108,1328,60.5,Moderate Stress
61,3232,10.0,Relaxed
139,413,80.0,High Stress
60,2981,15.0,Relaxed
118,812,65.3,Moderate Stress
113,1116,65.8,Moderate Stress
87,2100,39.0,Mild Stress
138,520,82.8,High Stress
117,798,68.0,High Stress
61,2654,23.2,Relaxed
78,2740,19.4,Normal
90,1241,44.3,Mild Stress
90,2194,39.5,Mild Stress
91,1826,47.7,Mild Stress
100,2068,43.3,Mild Stress
119,1190,64.3,Moderate Stress
134,609,86.7,High Stress
93,1621,50.7,Mild Stress
63,2928,17.1,Relaxed
126,166,82.8,High Stress
58,3082,16.3,Relaxed
89,1299,46.8,Mild Stress
92,1778,51.8,Mild Stress
113,1326,63.5,Moderate Stress
116,378,69.6,High Stress
86,2368,35.6,Normal
91,816,54.0,Mild Stress
71,2842,21.1,Normal
134,413,79.3,High Stress
142,467,95.0,High Stress
139,558,81.1,High Stress
128,1113,68.3,High Stress
108,845,61.6,Moderate Stress
72,3002,19.8,Normal
58,3655,11.8,Relaxed
129,731,82.6,High Stress
116,1267,58.7,Moderate Stress
93,2083,40.6,Mild Stress
110,667,67.5,Moderate Stress
89,2259,40.8,Mild Stress
120,478,81.3,High Stress
87,2180,39.9,Mild Stress
136,896,80.5,High Stress
137,375,80.3,High Stress
84,2411,33.7,Mild Stress
75,1909,34.2,Normal
97,2538,44.1,Mild Stress
137,813,78.9,High Stress
136,253,90.2,High Stress
105,1684,57.6,Moderate Stress
121,866,75.1,High Stress
62,3289,8.9,Relaxed
113,800,65.0,Moderate Stress
90,2352,40.9,Mild Stress
117,1126,66.6,Moderate Stress
136,881,76.8,High Stress
101,1004,58.2,Moderate Stress
63,2928,26.7,Normal
60,3016,16.0,Relaxed
84,2327,35.7,Mild Stress
81,1508,40.2,Normal
97,2121,47.2,Mild Stress
85,2381,34.4,Mild Stress
86,2030,39.3,Mild Stress
83,2175,37.3,Normal
75,2333,33.2,Normal
60,2869,17.8,Relaxed
74,1915,34.4,Normal
109,1223,56.8,Moderate Stress
69,3258,11.4,Relaxed
91,2454,40.7,Mild Stress
79,3301,23.0,Normal
57,2688,17.1,Relaxed
100,1585,59.5,Mild Stress
86,1829,44.5,Mild Stress
95,2661,39.7,Mild Stress
102,1405,54.1,Moderate Stress
107,952,59.6,Moderate Stress
92,2428,36.5,Mild Stress
93,1902,45.1,Mild Stress
90,2708,36.4,Mild Stress
143,988,78.5,High Stress
103,1149,63.1,Moderate Stress
71,2511,31.7,Normal
58,3248,17.1,Relaxed
88,1852,43.4,Mild Stress
67,2915,18.1,Relaxed
62,3328,8.6,Relaxed
84,1829,38.9,Mild Stress
134,526,88.4,High Stress
91,2827,40.3,Mild Stress
60,2715,17.7,Relaxed
105,1191,58.9,Moderate Stress
65,2879,18.3,Relaxed
91,2221,37.1,Mild Stress
107,696,63.0,Moderate Stress
81,2356,37.7,Normal
89,1534,45.1,Mild Stress
72,2848,27.2,Normal
63,3424,12.4,Relaxed
63,2779,12.8,Relaxed
66,3506,9.5,Relaxed
65,3410,8.9,Relaxed
80,2247,34.7,Normal
86,2839,30.6,Normal
52,4052,2.9,Relaxed
66,3160,16.0,Relaxed
128,775,74.8,High Stress
125,562,77.2,High Stress
63,3557,9.1,Relaxed
79,2598,22.1,Normal
70,2743,20.5,Normal
92,1969,38.4,Mild Stress
90,1898,35.3,Mild Stress
89,1813,51.9,Mild Stress
67,3493,14.0,Relaxed
113,1064,60.2,Moderate Stress
112,1238,61.9,Moderate Stress
78,2298,35.0,Normal
118,1332,60.6,Moderate Stress
111,1424,60.3,Moderate Stress
132,554,75.9,High Stress
82,2584,36.4,Mild Stress
86,2414,38.6,Normal
81,2483,29.0,Normal
92,2053,41.1,Mild Stress
101,1970,45.8,Mild Stress
141,582,95.2,High Stress
109,1045,67.1,Moderate Stress
63,3079,15.7,Relaxed
123,359,80.7,High Stress
92,1772,46.9,Mild Stress
128,775,65.3,High Stress
63,3487,14.1,Relaxed
62,2752,22.1,Relaxed
62,3185,17.7,Relaxed
62,3142,11.4,Relaxed
120,76,82.0,High Stress
67,2787,20.6,Relaxed
93,1868,47.0,Mild Stress
98,1458,55.4,Mild Stress
105,1049,58.9,Moderate Stress
119,593,67.5,Moderate Stress
141,681,81.1,High Stress
85,2239,36.6,Normal
73,2881,22.0,Normal
58,3712,11.2,Relaxed
85,3116,31.5,Normal
90,1673,46.4,Mild Stress
107,462,64.6,Moderate Stress
61,3903,5.7,Relaxed
65,3869,10.5,Relaxed
104,1625,55.2,Mild Stress
74,3058,20.6,Normal
73,3219,18.1,Normal
108,987,59.1,Moderate Stress
113,1481,60.0,Moderate Stress
135,463,86.4,High Stress
82,3375,24.0,Normal
111,896,58.5,Moderate Stress
109,1434,58.7,Moderate Stress
98,1497,52.0,Moderate Stress
94,1745,39.5,Mild Stress
53,3360,3.6,Relaxed
94,1832,54.8,Mild Stress
130,90,75.8,High Stress
55,2975,14.7,Relaxed
130,560,76.9,High Stress
91,2016,42.6,Mild Stress
145,675,83.6,High Stress
75,2625,25.9,Normal
118,904,67.0,Moderate Stress
93,1369,47.6,Mild Stress
74,2622,26.9,Normal
83,2817,32.1,Normal
137,774,76.1,High Stress
93,1562,50.4,Mild Stress
133,805,76.7,High Stress
98,2192,39.9,Mild Stress
103,1474,57.6,Moderate Stress
57,3320,11.4,Relaxed
104,973,54.3,Moderate Stress
100,1094,54.4,Moderate Stress
93,1717,49.2,Mild Stress
110,1475,57.1,Moderate Stress
112,1001,60.1,Moderate Stress
76,1782,28.0,Normal
77,2016,35.7,Normal
79,1568,44.7,Normal
138,658,79.6,High Stress
110,1010,59.8,Moderate Stress
121,811,69.6,Moderate Stress
78,2817,28.8,Normal
72,2857,19.8,Normal
104,1184,61.7,Moderate Stress
97,1877,43.0,Mild Stress
97,957,60.6,Moderate Stress
69,3392,18.4,Normal
120,1375,65.6,Moderate Stress
129,780,71.5,High Stress
71,3485,21.6,Relaxed
111,1154,61.1,Moderate Stress
69,3610,15.1,Relaxed
55,3134,8.6,Relaxed
81,2747,23.1,Normal
62,3554,5.4,Relaxed
72,2803,25.4,Normal
66,3646,13.5,Relaxed
65,2358,19.0,Normal
136,617,89.7,High Stress
99,860,49.6,Moderate Stress
97,1914,43.9,Mild Stress
127,593,74.1,High Stress
145,857,80.6,High Stress
77,1017,42.3,Mild Stress
95,2070,46.4,Mild Stress
116,442,70.1,High Stress
67,2600,17.8,Normal
147,599,89.8,High Stress
126,270,75.5,High Stress
86,1126,55.1,Mild Stress
63,2739,21.1,Relaxed
73,2988,22.7,Normal
148,690,84.2,High Stress
71,2434,23.4,Normal
95,1320,51.6,Mild Stress
67,2273,26.9,Normal
99,2162,52.0,Mild Stress
109,1232,62.3,Moderate Stress
86,1745,45.2,Mild Stress
124,628,81.4,High Stress
102,2080,47.8,Mild Stress
97,1690,46.2,Mild Stress
77,2552,31.5,Normal
86,3389,29.2,Normal
63,4095,9.8,Relaxed
92,1778,47.7,Mild Stress
85,2103,43.1,Mild Stress
119,942,75.5,High Stress
78,2260,36.6,Normal
93,1763,51.4,Mild Stress
65,3519,16.8,Relaxed
97,1300,46.7,Mild Stress
76,2828,19.5,Normal
61,2822,18.2,Relaxed
82,3224,20.4,Normal
118,1069,67.4,Moderate Stress
92,1884,51.8,Mild Stress
84,2839,27.7,Normal
97,2115,45.1,Mild Stress
67,3832,13.4,Relaxed
132,623,82.8,High Stress
73,2624,28.5,Normal
59,3444,9.6,Relaxed
59,3262,15.1,Relaxed
98,2082,46.9,Mild Stress
64,3753,10.1,Relaxed
111,1103,60.5,Moderate Stress
141,1081,74.9,High Stress
90,2440,30.6,Mild Stress
90,2149,44.6,Mild Stress
124,916,75.8,High Stress
101,1439,59.9,Moderate Stress
75,2388,27.9,Normal
131,205,88.0,High Stress
83,2737,34.3,Normal
87,1991,46.1,Mild Stress
79,2844,23.3,Normal
60,2537,22.7,Relaxed
86,1700,44.2,Mild Stress
91,1987,49.3,Mild Stress
79,3909,17.6,Relaxed
125,383,77.0,High Stress
76,2892,29.6,Normal
57,3304,8.8,Relaxed
124,638,73.0,High Stress
99,1645,43.8,Mild Stress
75,2586,28.5,Normal
65,3667,16.9,Relaxed
76,2755,27.8,Normal
136,7,87.7,High Stress
74,3415,17.1,Relaxed
94,2094,36.7,Mild Stress
114,1088,69.2,Moderate Stress
77,2630,29.7,Normal
79,2142,35.0,Normal
81,2308,43.1,Mild Stress
90,1800,50.3,Mild Stress
105,2373,49.7,Mild Stress
57,3492,15.9,Relaxed
68,1721,34.2,Normal
103,1476,55.9,Moderate Stress
94,1127,55.2,Mild Stress
92,1988,44.4,Mild Stress
108,1237,55.6,Moderate Stress
138,826,77.4,High Stress
133,559,83.8,High Stress
113,1023,57.7,Moderate Stress
115,1699,55.0,Moderate Stress
139,314,87.2,High Stress
106,1119,60.1,Moderate Stress
138,917,75.9,High Stress
114,1176,60.8,Moderate Stress
108,1429,60.6,Moderate Stress
57,3405,12.8,Relaxed
126,434,78.5,High Stress
92,1808,40.0,Mild Stress
74,2439,34.7,Normal
67,2604,19.8,Normal
88,1742,40.7,Mild Stress
70,2646,19.9,Normal
111,1489,61.1,Moderate Stress
82,2465,32.6,Normal
105,1441,55.9,Moderate Stress
90,1655,48.8,Mild Stress
60,4028,2.6,Relaxed
136,411,82.0,High Stress
97,2423,41.3,Mild Stress
83,2533,34.9,Normal
92,1766,44.2,Mild Stress
106,1455,54.2,Moderate Stress
111,1287,60.0,Moderate Stress
108,1166,59.8,Moderate Stress
137,392,86.6,High Stress
103,1283,54.6,Moderate Stress
116,248,74.5,High Stress
105,691,64.7,Moderate Stress
77,3205,28.9,Normal
144,937,80.8,High Stress
64,3787,7.9,Relaxed
88,2733,41.6,Normal
125,444,75.5,High Stress
136,1036,79.0,High Stress
77,2740,21.4,Normal
148,965,84.8,High Stress
141,626,81.6,High Stress
102,988,57.9,Moderate Stress
93,1989,43.5,Mild Stress
91,1459,47.2,Mild Stress
54,2826,10.9,Relaxed
138,375,84.8,High Stress
69,2253,31.3,Normal
